var,cluster
practices_assessments_deeper,Deeper learning
practices_design_thinking,Deeper learning
practices_opportunities_mastery,Deeper learning
practices_performance_assessment,Deeper learning
practices_pbl,Deeper learning
practices_competency_framework,Deeper learning
practices_competency_education,Deeper learning
practices_interdisciplinary,Deeper learning
practices_makerspace,Deeper learning
practices_place_based,Deeper learning
practices_student_conferences,Deeper learning
practices_student_projects,Deeper learning
practices_anti_racist,Ed justice
practices_assessments_sel,Ed justice
practices_culturally_responsive,Ed justice
practices_design_marginalized,Ed justice
practices_community_supports,Ed justice
practices_hiring_equity,Ed justice
practices_mental_health,Ed justice
practices_physical_well_being,Ed justice
practices_restorative,Ed justice
practices_sel_integrated,Ed justice
practices_social_justice,Ed justice
practices_colead_teachers,Ed justice
practices_trauma_informed,Ed justice
practices_adult_wellness,Ed justice
practices_inclusion,Ed justice
practices_coleadership,Ed justice
practices_reallocation_resources,Ed justice
practices_sel_curriculum,Ed justice
practices_translanguaging,Ed justice
practices_blended_learning,Individualized
practices_flex,Individualized
practices_flipped_classroom,Individualized
practices_interoperability,Individualized
practices_station_rotation,Individualized
practices_student_data,Individualized
practices_mentoring,Individualized
practices_accommodations,Individualized
practices_student_pace,Individualized
practices_a_la_carte,Postsecondary
practices_assessments_career,Postsecondary
practices_career_prep,Postsecondary
practices_community_partnerships,Postsecondary
practices_early_college,Postsecondary
practices_extended_learning,Postsecondary
practices_industry_credentials,Postsecondary
practices_colead_cbo,Postsecondary
practices_colead_industry,Postsecondary
practices_assessments_agency,None
practices_assessments_bilingual,None
practices_disaggregated_participation_data,None
practices_dual_language,None
practices_enriched_virtual,None
practices_expanded_open_hours,None
practices_colead_family,None
practices_flexible_facilities,None
practices_flexible_staffing,None
practices_grading_mastery,None
practices_heritage,None
practices_learning_paths,None
practices_multi_age,None
practices_mtss_academics,None
practices_learner_profiles,None
practices_no_tracking,None
practices_peer_to_peer,None
practices_service_learning,None
practices_advisories,None
practices_colead_students,None
practices_tutoring,None
practices_udl,None
practices_advancement_mastery,None
practices_student_goals,None
